4x4,8x8,16x16
11.771571,8.311133,2.041760
11.608099,7.595812,2.164355
11.613586,9.216312,1.943075
11.486531,8.164217,2.334648
12.250656,8.334291,2.225314
11.997658,8.686752,2.268238
12.421938,8.611492,2.021621
11.721810,8.408249,2.076364
11.453915,8.401653,2.177850
11.299204,8.159342,2.255172
