0.1,1,45,50,28,26,21,53,13,24,6,44,52,36,54,58,33,60,10,48,2,25,32,40,5,15,39,59,1,8,37,18,34,47,63,22,49,56,46,31,61,51,0,23,9,57,29,3,20,43,35,38,7,12,14,27,55,16,42,62,30,4,17,41,19,11,1869.24 
0.1,1,6,13,15,44,48,40,29,5,16,21,23,1,11,34,14,47,19,33,63,36,2,38,62,10,27,54,37,26,61,42,20,60,18,32,9,56,28,31,39,45,17,22,24,3,43,35,50,41,25,59,52,12,53,51,58,46,0,7,49,55,4,8,57,30,1840.64 
0.1,1,3,25,31,23,36,54,15,24,41,40,58,18,1,12,48,21,59,0,19,9,47,60,44,7,11,17,10,6,32,62,46,16,53,35,22,45,61,39,27,43,51,14,8,26,33,5,57,52,38,13,37,42,34,50,20,28,63,4,55,2,30,56,29,49,1862.86 
0.1,1,20,29,42,23,17,16,62,57,30,63,60,12,35,52,53,54,59,40,18,61,36,44,50,58,55,5,21,25,6,28,3,49,39,37,13,51,47,8,46,15,9,1,14,31,48,34,7,11,41,24,26,10,38,27,33,22,4,0,19,56,2,45,32,43,1877.91 
0.1,1,54,26,12,0,38,52,15,42,36,35,32,22,10,39,13,56,23,20,55,8,30,1,61,50,62,21,43,19,37,11,18,14,57,24,44,6,53,25,28,17,16,29,58,59,3,49,51,63,31,60,40,47,34,7,9,48,2,5,33,46,41,4,27,45,1836.36 
0.1,1,24,22,31,9,57,23,32,2,44,58,49,46,53,21,17,48,15,19,14,35,29,51,50,1,40,59,56,45,42,18,5,0,25,11,33,60,47,34,28,38,43,6,36,30,20,39,26,13,8,61,55,3,4,37,52,62,27,54,63,7,10,41,12,16,1799.67 
0.1,1,25,42,37,22,57,61,44,3,60,5,34,47,58,23,59,49,21,30,16,27,63,15,7,26,52,6,28,56,18,29,38,19,46,35,17,32,8,4,0,43,40,62,39,48,10,54,50,53,12,55,9,31,45,1,51,41,13,36,33,2,20,24,14,11,1852.92 
0.1,1,7,34,38,32,50,61,15,30,6,36,57,25,17,2,0,62,8,21,23,16,10,18,11,28,19,63,37,49,5,46,4,9,3,60,31,12,14,26,24,22,59,41,48,40,33,54,52,1,29,58,56,39,20,51,13,55,35,53,43,44,45,47,42,27,1853.15 
0.1,1,52,18,42,41,40,36,17,44,14,48,31,6,43,32,1,29,26,0,53,58,3,25,20,54,24,21,45,61,11,63,8,59,12,46,47,15,39,34,62,27,51,23,13,35,16,33,4,2,37,60,50,30,55,57,28,22,7,56,5,9,49,19,38,10,1880.23 
0.1,1,45,36,11,57,53,34,15,35,59,39,31,22,0,50,62,63,18,60,4,14,54,19,55,32,10,24,43,9,8,1,2,42,48,7,61,13,49,16,6,29,17,41,23,58,25,52,40,21,33,47,30,27,26,20,56,3,37,51,28,38,44,46,12,5,1854.46 
0.1,1,51,16,43,48,34,26,56,31,62,54,50,53,23,11,27,59,39,52,55,29,35,7,30,13,14,21,40,12,24,33,6,47,3,19,22,10,37,60,41,18,58,32,42,45,15,36,17,5,8,61,28,25,0,49,38,46,63,1,20,2,57,44,4,9,1803.19 
0.1,1,26,61,50,27,7,13,48,1,41,56,5,31,51,18,57,22,35,2,54,0,46,28,12,45,25,23,30,9,60,63,21,39,4,24,32,3,59,49,44,17,36,40,47,15,58,20,52,55,33,42,29,34,11,8,14,38,16,10,37,53,19,43,6,62,1857.89 
