0.1,1,13,0,8,2,15,3,4,7,5,14,1,10,12,11,9,6,5028
0.1,1,13,3,14,5,0,15,6,1,2,8,11,10,12,4,9,7,5028
0.1,1,6,12,7,3,5,13,11,14,2,9,1,4,8,10,0,15,5029
0.1,1,9,6,12,11,10,3,15,14,4,7,2,13,8,1,0,5,5029
0.1,1,9,10,4,6,5,11,12,2,0,3,15,8,13,7,1,14,5008
0.1,1,6,0,4,9,10,5,13,8,14,2,7,15,3,12,1,11,5008
0.1,1,11,13,14,1,4,10,15,7,9,3,12,0,6,2,5,8,5029
0.1,1,11,12,1,4,9,2,10,8,0,6,15,13,7,3,5,14,5026
0.1,1,6,3,13,14,4,1,2,7,8,9,0,11,10,12,5,15,5029
0.1,1,6,15,8,5,14,4,2,10,12,0,9,13,3,1,11,7,5026
0.1,1,8,11,7,12,10,14,4,1,6,0,2,13,3,5,9,15,5009
0.1,1,15,1,9,4,13,2,8,7,10,6,14,11,3,12,0,5,5030
0.1,1,3,0,1,5,9,14,13,4,15,10,12,11,8,2,6,7,5027
0.1,1,0,8,1,3,10,5,12,13,11,4,6,9,2,7,14,15,5007
0.1,1,12,6,2,10,5,11,9,7,1,14,0,13,8,3,4,15,5031
0.1,1,15,3,6,5,11,13,9,10,2,0,7,4,12,8,14,1,5029
0.1,1,3,11,0,10,5,14,1,15,2,8,9,13,6,7,12,4,5010
0.1,1,10,0,8,11,5,14,3,2,6,4,15,7,13,12,9,1,5031
0.1,1,8,3,15,5,14,2,10,12,4,0,9,13,1,6,7,11,5009
0.1,1,9,1,15,7,4,5,11,14,0,3,12,8,13,10,2,6,5028
0.1,1,6,11,9,8,4,14,10,3,0,7,1,2,5,13,12,15,5007
0.1,1,7,10,4,1,8,9,5,3,0,11,6,2,13,12,14,15,5008
0.1,1,7,6,13,1,9,11,3,0,5,15,8,10,2,4,14,12,5030
0.1,1,6,13,12,15,5,8,10,7,2,4,3,11,0,1,14,9,5029
0.1,1,10,1,12,4,5,13,6,7,3,9,14,8,0,11,2,15,5010
0.1,1,6,1,4,10,5,9,8,14,3,7,12,13,0,11,2,15,5009
0.1,1,3,9,12,5,15,4,2,10,8,6,7,1,13,11,14,0,5029
0.1,1,9,15,10,7,13,0,3,6,5,4,1,12,11,2,14,8,5030
0.1,1,10,3,11,7,15,1,4,2,5,0,14,13,9,6,8,12,5592
0.1,1,3,15,6,5,8,0,14,1,4,2,11,13,9,10,7,12,5029
0.1,1,12,10,1,0,4,6,15,7,14,11,5,13,9,3,8,2,5028
0.1,1,0,6,7,11,13,5,9,14,10,15,3,12,8,2,1,4,5029
0.1,1,12,3,4,2,13,5,1,0,7,11,10,8,9,6,14,15,5029
0.1,1,9,10,15,7,1,8,11,5,3,6,12,13,4,0,14,2,5029
0.1,1,0,13,11,1,8,12,6,9,14,3,5,7,4,10,2,15,5029
0.1,1,9,3,8,5,11,13,12,15,6,7,0,10,2,1,14,4,5029
